Timestamp,Price,Volume,MarketCap
2023-07-25 19:00:58.760,0.08178430366362781,2019631030.0943925,11487094111.991426
2023-07-25 20:00:26.200,0.0818761418731588,1742827406.6529505,11492210775.705544
2023-07-25 21:01:20.829,0.08171919103229187,1776480115.0495996,11467764374.299896
2023-07-25 22:00:17.850,0.08144854194218869,2059719905.4074197,11437966533.925426
2023-07-25 23:00:44.545,0.08075170240363361,2067911277.1360037,11329549272.847921
2023-07-26 00:01:38.875,0.07957864863295362,2014022761.6695282,11147089151.455873
2023-07-26 01:00:47.808,0.08009516765248545,1703313380.9919887,11251872320.07827
2023-07-26 02:01:27.277,0.08017734728169938,1882567465.771851,11252375799.891031
2023-07-26 03:01:31.148,0.08029280259191188,1854933330.9026685,11240518081.246643
2023-07-26 04:02:02.079,0.08030077894543754,1826666663.908427,11266622550.544353
2023-07-26 05:01:32.737,0.08083291940360052,1806522369.952235,11361441025.3314
2023-07-26 06:00:55.564,0.08005147759105426,1736702867.083147,11238908996.159094
2023-07-26 07:01:11.717,0.0787950147882627,1600999912.2041726,11056649662.52879
2023-07-26 08:01:20.150,0.07839123315209881,1590894249.6700418,11032375599.853594
2023-07-26 09:01:06.007,0.078776781474396,1555661301.4077194,11056278782.78267
2023-07-26 10:00:52.764,0.07903393256852853,1532927128.906955,11081403294.485893
2023-07-26 11:00:57.183,0.07883264069235059,1645594648.6227803,11051109260.4128
2023-07-26 12:01:10.659,0.07910418184297843,1494007200.2126067,11102206203.0359
2023-07-26 13:00:29.934,0.07874100119611945,1480808570.73947,11056883012.640345
2023-07-26 14:00:29.721,0.07841125693108796,1496217608.79145,11004273250.324768
2023-07-26 15:01:29.244,0.0778725481973052,1323774509.2057464,10928122267.043781
2023-07-26 16:00:57.346,0.0786451460061952,1240150005.9997482,11092864939.9888
2023-07-26 17:00:23.056,0.07819342078566953,1138441770.7382176,10940691680.483038
2023-07-26 18:01:07.771,0.0789940352072558,1221588640.561066,11081189926.223656
2023-07-26 19:00:20.165,0.07846446917901448,1161170021.6083503,11014617610.08393
2023-07-26 20:00:04.939,0.07805390435617417,1061467508.3292365,10951458394.745552
2023-07-26 21:01:26.797,0.07794154175017286,1047480835.9747274,10938851177.181372
2023-07-26 22:01:37.570,0.07708208630780028,1042989801.8669271,10824567153.809261
2023-07-26 23:00:40.958,0.07787701040948532,1104240840.101082,10898775446.679611
2023-07-27 00:00:32.855,0.07830849752475995,973517141.998748,10989560984.096169
2023-07-27 01:00:23.649,0.07825179724761058,1019830268.0279301,11001722075.761576
2023-07-27 02:00:17.396,0.07849464137963114,947694875.2330937,10978119654.532955
2023-07-27 03:00:05.729,0.07863670378192052,936757001.1418266,11034805809.965376
2023-07-27 04:00:43.996,0.07838106601594454,924018749.6944482,10988796473.067698
2023-07-27 05:00:14.325,0.07871665537568584,986061656.5029519,11009858914.981533
2023-07-27 06:01:19.826,0.0788912195083641,890869406.9289235,11089679327.742142
2023-07-27 07:00:52.916,0.07978947283963046,973473025.1734209,11162526320.868118
2023-07-27 08:00:34.514,0.07936228896674212,873860808.3072693,11150651368.524683
2023-07-27 09:01:19.759,0.07960995982782759,847509821.5780128,11152262768.975677
2023-07-27 10:01:25.241,0.07944934185584629,915237129.1899347,11151016708.554747
2023-07-27 11:01:26.531,0.07894657926914674,918782597.4668946,11070877483.308535
2023-07-27 12:00:56.319,0.07877784003103927,902411477.6033659,11066451572.766039
2023-07-27 13:01:19.897,0.07901306096449262,904802884.7567788,11089432918.802975
2023-07-27 14:00:59.531,0.07886231262896339,874766802.2957169,11061410818.486736
2023-07-27 15:00:20.755,0.07832675659097213,846293878.9188105,10998367452.521172
2023-07-27 16:01:46.398,0.07744017947749894,796888986.4311091,10856240593.062069
2023-07-27 17:00:59.210,0.07712789242253341,757701273.7783093,10813903134.99669
2023-07-27 18:01:20.016,0.07700138154126171,691930135.3479033,10803538699.779694
2023-07-27 19:01:45.269,0.07740190487157604,666604160.6241875,10884873840.956476
2023-07-27 20:00:47.187,0.07747224853620437,650335883.4487888,10893490043.745811
2023-07-27 21:01:44.406,0.07759108471459203,645594112.0287884,10889524491.325073
2023-07-27 22:01:27.840,0.07785173599962104,660842685.0997045,10915009889.096563
2023-07-27 23:00:51.046,0.07742865822539567,642651419.3698467,10853470829.292368
2023-07-28 00:00:08.672,0.07694763228605532,645076568.059808,10788505418.847506
2023-07-28 01:00:29.797,0.07724660290447359,642486140.5258993,10837927739.712065
2023-07-28 02:01:47.638,0.07746727498521189,651899115.1241158,10865699183.398628
2023-07-28 03:01:05.335,0.07627106204710105,596353378.3227704,10704687021.757061
2023-07-28 04:01:12.267,0.07638457403202421,595293559.6834906,10726085365.41648
2023-07-28 05:00:56.826,0.07637141366598645,657166201.2112982,10737004446.944668
2023-07-28 06:06:21.211,0.0763849697015881,575483459.0502656,10720163945.935234
2023-07-28 07:00:46.783,0.07665707986978325,561991438.824986,10731719789.69556
2023-07-28 08:01:09.235,0.07680252194526217,599693178.6672086,10777023281.980146
2023-07-28 09:01:09.258,0.07664331138195293,540560489.631391,10757347838.008924
2023-07-28 10:00:48.398,0.07687783513745203,531423696.00289387,10790440414.303358
2023-07-28 11:01:09.643,0.07703080350738632,526648210.04799664,10820824998.474783
2023-07-28 12:01:03.299,0.07747627097412285,541847542.9584436,10876552746.392801
2023-07-28 13:01:44.004,0.07712156391395181,527530984.98011994,10823995123.545486
2023-07-28 14:01:30.304,0.0772819309379716,573194977.4507992,10834743141.055563
2023-07-28 15:01:36.313,0.0768956721433669,503604344.1411778,10786246484.338263
